virtual_path,category,width,height,count,dtype,crs,res_x,res_y,Blue_mean,Blue_std,Blue_min,Blue_max,Blue_p25,Blue_p50,Blue_p75,Blue_count,Green_mean,Green_std,Green_min,Green_max,Green_p25,Green_p50,Green_p75,Green_count,Red_mean,Red_std,Red_min,Red_max,Red_p25,Red_p50,Red_p75,Red_count,NIR_mean,NIR_std,NIR_min,NIR_max,NIR_p25,NIR_p50,NIR_p75,NIR_count,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_count,EVI_mean,EVI_std,EVI_min,EVI_max,EVI_p25,EVI_p50,EVI_p75,EVI_count,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,NDWI_p25,NDWI_p50,NDWI_p75,NDWI_count,pixel_area_m2,veg_area_ha,water_area_ha
Agri/IMG_T2V_20240131033325_ORTHO_PMS_32.tif,Agri,12745,29368,4,uint16,EPSG:32647,0.5,0.5,59198.70792817158,19319.73024021053,202.0,65535.0,65535.0,65535.0,65535.0,1820672,59196.766973403224,19325.64093825404,220.0,65535.0,65535.0,65535.0,65535.0,1820672.0,59203.24156245606,19305.89840015634,303.0,65535.0,65535.0,65535.0,65535.0,1820672.0,59220.35700719295,19253.73257214939,191.0,65535.0,65535.0,65535.0,65535.0,1820672.0,0.3912070198758197,6.501657135236164,0.0,129.03550295857988,0.0,0.0,0.0,1820672.0,1.340855307035338,332.1056915091728,-327630.0,163805.0,0.0,-0.0,-0.0,1820642.0,7.967355983527545,24.741431149394927,0.0,146.28125,0.0,0.0,0.0,1820672.0,0.25,0.506875,4.339925
Agri/IMG_T2V_20240131033325_ORTHO_PMS_32_2.tif,Agri,15830,29368,4,uint16,EPSG:32647,0.5,0.5,55329.489562103714,23701.123035286433,0.0,65535.0,65535.0,65535.0,65535.0,2260992,55327.106616918594,23706.648939776685,0.0,65535.0,65535.0,65535.0,65535.0,2260992.0,55337.478654059814,23682.559883611797,0.0,65535.0,65535.0,65535.0,65535.0,2260992.0,55367.43645178754,23613.021192291522,0.0,65535.0,65535.0,65535.0,65535.0,2260992.0,0.579600215229421,7.900021599865113,0.0,130.832,0.0,0.0,0.0,2260988.0,2.2958629480604964,391.50874825826816,-327570.0,327375.0,0.0,-0.0,-0.0,2260942.0,12.707079174735618,30.752812792691017,0.0,9361.857142857143,0.0,0.0,0.0,2260988.0,0.25,1.510475,8.703825
Agri/IMG_T2V_20241012033956_ORTHO_PMS_32.tif,Agri,6331,5111,4,uint16,EPSG:32647,0.5,0.5,300.9696692566546,86.86413234284954,0.0,3088.0,245.0,283.0,334.0,3385344,281.99395984573505,49.50983554910992,0.0,2527.0,255.0,274.0,296.0,3385344.0,323.3511566328267,42.223192536884966,0.0,2311.0,304.0,316.0,331.0,3385344.0,523.2654835077321,219.69443288955802,0.0,2820.0,347.0,478.0,685.0,3385344.0,21.392703243740005,45.19606270606969,0.0,276.49367088607596,0.14119751684585055,0.3181818181818182,0.46806790622473726,3383462.0,-7.819664622556087,6353.169233585444,-327675.0,327675.0,-0.6749311294765841,1.0407918416316737,1.7002583979328165,3384103.0,74.62493920227347,89.18906450305622,0.0,65535.0,60.316033364226136,77.19905213270142,97.2258543833581,3383462.0,0.25,44.62,76.836025
Agri/IMG_T2V_20241012033956_ORTHO_PMS_32_2.tif,Agri,6001,6000,4,uint16,EPSG:32647,0.5,0.5,279.83926701545715,72.06488200048025,148.0,2182.0,235.0,269.0,315.0,4194304,267.37458419799805,40.85077631104987,171.0,1553.0,244.0,270.0,289.0,4194304.0,313.56027817726135,28.54493637547027,248.0,1481.0,298.0,314.0,327.0,4194304.0,500.9018657207489,257.3189349369128,118.0,2034.0,283.0,478.0,689.0,4194304.0,38.410535788016,61.39611061170413,0.0,174.88235294117646,0.21303258145363407,0.3815413891531874,110.67905405405405,4194304.0,81.46280410915566,6900.851867566814,-327675.0,327675.0,-0.3273809523809524,1.4806750136091453,3.680351906158358,4192991.0,65.73125472520091,39.64760835243678,0.0,184.6056338028169,51.98478783026421,69.71657754010695,91.66199158485273,4194304.0,0.25,66.455,86.2125
Coastal/IMG_T2V_20240821033931_ORTHO_PMS_32.tif,Coastal,24892,24740,4,uint16,EPSG:32647,0.5,0.5,61691.96455486026,15360.106837977428,0.0,65535.0,65535.0,65535.0,65535.0,4167680,61691.946020807736,15360.1696129764,0.0,65535.0,65535.0,65535.0,65535.0,4167680.0,61694.46430892007,15350.104628270823,0.0,65535.0,65535.0,65535.0,65535.0,4167680.0,61712.3429370777,15278.796277542919,0.0,65535.0,65535.0,65535.0,65535.0,4167680.0,1.645643201163742,14.670478075860952,0.0,7281.666666666667,0.0,0.0,0.0,4167679.0,-13.700784524798594,1845.6590104034724,-327390.0,327460.0,0.0,0.0,0.0,4167613.0,2.966048044382576,13.883723844542512,0.0,190.2906976744186,0.0,0.0,0.0,4167679.0,0.25,5.227625,6.0626
Coastal/IMG_T2V_20241203033748_ORTHO_PMS_32.tif,Coastal,25176,25348,4,uint16,EPSG:32647,0.5,0.5,61812.088919040376,15151.839111062216,0.0,65535.0,65535.0,65535.0,65535.0,4165632,61814.46711639434,15142.15328753044,0.0,65535.0,65535.0,65535.0,65535.0,4165632.0,61818.106668807995,15127.338541700972,0.0,65535.0,65535.0,65535.0,65535.0,4165632.0,61824.1215496232,15103.06875980969,0.0,65535.0,65535.0,65535.0,65535.0,4165632.0,6.684241474747438,50.11402223480292,0.0,65535.0,0.0,0.0,0.0,4165619.0,7.42558067442927,230.17742348700946,-163805.0,163272.5,-0.0,-0.0,0.0,4165624.0,2.1208964597600932,12.794455144037897,0.0,242.6962962962963,0.0,0.0,0.0,4165619.0,0.25,5.63875,5.90435
Coastal/IMG_T2V_20241203033748_ORTHO_PMS_32_2.tif,Coastal,25176,25348,4,uint16,EPSG:32647,0.5,0.5,61819.66386661136,15137.50780966292,85.0,65535.0,65535.0,65535.0,65535.0,4165632,61822.07126313606,15127.684156139776,130.0,65535.0,65535.0,65535.0,65535.0,4165632.0,61826.079481336805,15111.350984781206,205.0,65535.0,65535.0,65535.0,65535.0,4165632.0,61821.83586644236,15128.752048493596,37.0,65535.0,65535.0,65535.0,65535.0,4165632.0,9.784731920524974,46.05214947953513,0.0,249.4885496183206,0.0,0.0,0.0,4165632.0,8.980749852879596,706.9476917953381,-327650.0,327655.0,-0.0,0.0,-0.0,4165615.0,1.2170163935368068,10.221640788216924,0.0,234.86379928315412,0.0,0.0,0.0,4165632.0,0.25,5.38465,5.835775
Disaster/IMG_T2V_20250730033331_ORTHO_PMS_32.tif,Disaster,31708,31812,4,uint16,EPSG:32647,0.5,0.5,63191.91920201303,12122.094348450068,299.0,65535.0,65535.0,65535.0,65535.0,4179968,63189.76062137318,12133.249071333406,297.0,65535.0,65535.0,65535.0,65535.0,4179968.0,63191.70522142753,12123.186537675285,394.0,65535.0,65535.0,65535.0,65535.0,4179968.0,63196.33574850334,12099.298528748157,247.0,65535.0,65535.0,65535.0,65535.0,4179968.0,1.048749043466969,9.142175586159347,0.0,100.58461538461539,0.0,0.0,0.0,4179968.0,-1.1883216010239603,1317.0145332433876,-327640.0,327525.0,-0.0,0.0,-0.0,4179923.0,1.527141287787164,9.613704901343818,0.0,108.5,0.0,0.0,0.0,4179968.0,0.25,1.89125,2.659675
Disaster/IMG_T2V_20250731035100_ORTHO_PMS_32.tif,Disaster,28508,29240,4,uint16,EPSG:32647,0.5,0.5,62704.77818289935,13264.650988542322,269.0,65535.0,65535.0,65535.0,65535.0,4089856,62698.71069714924,13293.066092924997,251.0,65535.0,65535.0,65535.0,65535.0,4089856.0,62699.42631280906,13289.708932703079,313.0,65535.0,65535.0,65535.0,65535.0,4089856.0,62705.83782020687,13259.67151651333,285.0,65535.0,65535.0,65535.0,65535.0,4089856.0,0.04339818372059127,1.8548286686931852,0.0,107.19639934533552,0.0,0.0,0.0,4089856.0,-0.5962878338106532,447.87872869007316,-327630.0,327485.0,-0.0,0.0,-0.0,4089827.0,3.006546076680368,14.388095766341277,0.0,117.63195691202873,0.0,0.0,0.0,4089856.0,0.25,0.323875,4.389725
LULC/IMG_T2V_20241012033956_ORTHO_PMS_32.tif,LULC,6331,5110,4,uint16,EPSG:32647,0.5,0.5,330.9478422281458,129.33124712975618,149.0,2682.0,249.0,292.0,385.0,3385344,302.8764991091009,80.67803655232635,172.0,1821.0,261.0,288.0,322.0,3385344.0,345.8725780895531,74.32301767676093,240.0,1635.0,313.0,330.0,345.0,3385344.0,593.9350231468353,252.56762807183537,133.0,2383.0,375.0,597.0,783.0,3385344.0,22.906307914015944,45.82570997341733,0.0,161.50864197530865,0.20866590649942987,0.37677053824362605,0.5068702290076336,3385344.0,7.350268107695587,5008.602620004138,-327675.0,327670.0,-0.750620347394541,1.2008281573498965,1.709346991037132,3384525.0,64.1344591741197,32.83500730451356,0.0,186.1590909090909,52.65584415584416,64.87836490528414,82.05025125628141,3385344.0,0.25,52.81745,73.662775
LULC/IMG_T2V_20241224034201_ORTHO_PMS_32.tif,LULC,10112,10048,4,uint16,EPSG:32647,0.5,0.5,42305.169137505756,31286.468619204403,76.0,65535.0,182.0,65535.0,65535.0,4167680,42304.20886344441,31287.74691123323,99.0,65535.0,177.0,65535.0,65535.0,4167680.0,42318.63960188882,31268.308496308604,158.0,65535.0,213.0,65535.0,65535.0,4167680.0,42402.458043323866,31155.55297890974,67.0,65535.0,515.0,65535.0,65535.0,4167680.0,4.541504626459729,30.97000902589892,0.0,278.4723404255319,0.0,0.0,0.3096774193548387,4167680.0,10.486714374928605,798.526968266033,-327655.0,327605.0,-0.0,0.0,0.8441558441558441,4167407.0,39.097607653920285,58.08283156907703,0.0,329.321608040201,0.0,0.0,92.36350777934936,4167680.0,0.25,26.9436,36.706425
LULC/IMG_T2V_20250731035100_ORTHO_PMS_32.tif,LULC,28580,29040,4,uint16,EPSG:32647,0.5,0.5,62681.135220966644,13342.617844491759,217.0,65535.0,65535.0,65535.0,65535.0,4128768,62680.42895701575,13345.91622145905,219.0,65535.0,65535.0,65535.0,65535.0,4128768.0,62682.03632851253,13338.40079289255,275.0,65535.0,65535.0,65535.0,65535.0,4128768.0,62700.68327016679,13251.25142465243,324.0,65535.0,65535.0,65535.0,65535.0,4128768.0,0.017012019520198138,0.08144019484550095,0.0,0.5891891891891892,0.0,0.0,0.0,4128768.0,0.06446261275833723,9.06663783372231,-2160.0,2020.0,0.0,-0.0,-0.0,4128730.0,2.811439338463621,13.28792280455226,0.0,111.91965811965812,0.0,0.0,0.0,4128768.0,0.25,3.79165,4.515625
Miscellaneous/IMG_T2V_20240821033931_ORTHO_PMS_32.tif,Miscellaneous,24892,24740,4,uint16,EPSG:32647,0.5,0.5,61694.56235051635,15349.76620200953,182.0,65535.0,65535.0,65535.0,65535.0,4167680,61693.681052288084,15353.257043483185,189.0,65535.0,65535.0,65535.0,65535.0,4167680.0,61696.39516445601,15342.41176468315,262.0,65535.0,65535.0,65535.0,65535.0,4167680.0,61721.72788553824,15241.18665921162,195.0,65535.0,65535.0,65535.0,65535.0,4167680.0,0.06826822853880801,2.323109571651543,0.0,139.86752136752136,0.0,0.0,0.0,4167680.0,0.06853549374147362,247.54339494105733,-327645.0,46765.0,0.0,0.0,0.0,4167657.0,3.5682850769556786,14.819392063711204,0.0,161.78518518518518,0.0,0.0,0.0,4167680.0,0.25,4.4893,6.124075
